Titre,Auteurs,Année,Source,Citations,DOI,Lien,Terme_recherche
Gene Therapeutic Drug pCMV-VEGF165 Plasmid ('Neovasculgen') Promotes Gingiva Soft Tissue Augmentation in Rabbits.,Koteneva P; Kosheleva N; Fayzullin A; Khristidis Y; Rasulov T; Kulova A; Rozhkov S; Vedyaeva A; Brailovskaya T; Timashev P,2024,Int J Mol Sci,NC,10.3390/ijms251810013,https://pubmed.ncbi.nlm.nih.gov/39337502/,"""mucoderm"""
Attachment Gain After Applying Xenogeneic Acellular Dermal Matrix in the Management of Isolated Recessions: A Randomized Clinical Trial.,Alabed M; Dayoub S; Fawaz M,2024,Cureus,NC,10.7759/cureus.64414,https://pubmed.ncbi.nlm.nih.gov/39130896/,"""mucoderm"""
Novel Technique to Reconstruct Peri-Implant Keratinised Mucosa Width Using Xenogeneic Dermal Matrix. Clinical Case Series.,Horvath A; Windisch P; Palkovics D; Li X,2024,Dent J (Basel),NC,10.3390/dj12030043,https://pubmed.ncbi.nlm.nih.gov/38534267/,"""mucoderm"""
Association of the Osseodensification Technique with Soft Tissue Substitute in a Limitrophe Edentulous Area: A Clinical Case Report with 5-Year Follow-Up.,de Souza ALB; Dos Reis RJ; Girondo RMF; Pascon R; Cabrera A; da Silva Salomao GV,2024,Case Rep Dent,NC,10.1155/2024/6509451,https://pubmed.ncbi.nlm.nih.gov/38348345/,"""mucoderm"""
Clinical and histological wound healing patterns of collagen-based substitutes: An experimental randomized controlled trial in standardized palatal defects in humans.,Bienz SP; Gadzo N; Zuercher AN; Wiedemeier D; Jung RE; Thoma DS,2024,J Clin Periodontol,NC,10.1111/jcpe.13903,https://pubmed.ncbi.nlm.nih.gov/38017650/,"""mucoderm"""
Porcine Resorbable Collagen Matrix Shows Good Incorporation of Liquid Platelet-Rich Fibrin In Vitro.,Sant'Anna da Costa L; Luiz JJF; Petronilho VG; Destefani MMDS; Casaroto AR; Salmeron S,2023,Int J Oral Maxillofac Implants,NC,10.11607/jomi.10092,https://pubmed.ncbi.nlm.nih.gov/37669512/,"""mucoderm"""
A Comparison between Mucoderm(R) and Connective Tissue Graft for Root Coverage.,Fathiazar A; Shariatmadar Ahmadi R; Sayar F,2022,J Dent (Shiraz),NC,10.30476/DENTJODS.2021.90830.1535,https://pubmed.ncbi.nlm.nih.gov/36588965/,"""mucoderm"""
On-Bone Fixation of Free Gingival Graft Induces the Expression of Osteogenic Differentiation Markers in the Mandible of Miniature Pigs.,Edranov SS; Kalinichenko SG; Matveeva NY,2022,Int J Oral Maxillofac Implants,NC,10.11607/jomi.9456,https://pubmed.ncbi.nlm.nih.gov/36170308/,"""mucoderm"""
Connective tissue graft vs porcine collagen matrix after immediate implant placement in esthetic area: A randomized clinical trial.,Puisys A; Deikuviene J; Vindasiute-Narbute E; Razukevicus D; Zvirblis T; Linkevicius T,2022,Clin Implant Dent Relat Res,NC,10.1111/cid.13058,https://pubmed.ncbi.nlm.nih.gov/35324053/,"""mucoderm"""
Biomechanical Characterization of a New Acellular Dermal Matrix for Oral Soft Tissue Regeneration.,Pabst A; Sagheb K; Blatt S; Sagheb K; Schroger S; Wentaschek S; Schumann S,2022,J Invest Surg,NC,10.1080/08941939.2022.2047245,https://pubmed.ncbi.nlm.nih.gov/35249431/,"""mucoderm"""
Peri-Implant Mucosa Augmentation with an Acellular Collagen Matrix.,Zafiropoulos GG; Al-Asfour AA; Abuzayeda M; Kacarevic ZP; Murray CA; Trajkovski B,2021,Membranes (Basel),NC,10.3390/membranes11090698,https://pubmed.ncbi.nlm.nih.gov/34564515/,"""mucoderm"""
Mesenchymal Stromal Cells Enhance Vascularization and Epithelialization within 7 Days after Gingival Augmentation with Collagen Matrices in Rabbits.,Kulakov A; Kogan E; Brailovskaya T; Vedyaeva A; Zharkov N; Krasilnikova O; Krasheninnikov M; Baranovskii D; Rasulov T; Klabukov I,2021,Dent J (Basel),NC,10.3390/dj9090101,https://pubmed.ncbi.nlm.nih.gov/34562975/,"""mucoderm"""
In Vitro Biodegradation Pattern of Collagen Matrices for Soft Tissue Augmentation.,Vallecillo C; Toledano-Osorio M; Vallecillo-Rivas M; Toledano M; Osorio R,2021,Polymers (Basel),NC,10.3390/polym13162633,https://pubmed.ncbi.nlm.nih.gov/34451173/,"""mucoderm"""
Engaging a polylactide copolymer in oral tissue regeneration: first validation of Suprathel((R)) for guided epithelial and osseous healing.,Vacaras S; Baciut G; Gheban D; Bran S; Colosi H; Toader S; Opris D; Kretschmer W; Manea A; Armencea G; Baciut M; Opris H; Mitre I; Hedesiu M; Dinu C,2021,J Med Life,NC,10.25122/jml-2021-0083,https://pubmed.ncbi.nlm.nih.gov/34104241/,"""mucoderm"""
Free Gingival Graft and Collagen Matrix Revascularization in an Enoral Open Wound Situation.,Preidl RHM; Reichert S; Coronel TV; Kesting M; Wehrhan F; Schmitt CM,2021,J Oral Maxillofac Surg,NC,10.1016/j.joms.2020.12.019,https://pubmed.ncbi.nlm.nih.gov/33450192/,"""mucoderm"""
In Vivo Modulation of Angiogenesis and Immune Response on a Collagen Matrix via Extracorporeal Shockwaves.,Heimes D; Wiesmann N; Eckrich J; Brieger J; Mattyasovszky S; Proff P; Weber M; Deschner J; Al-Nawas B; Kammerer PW,2020,Int J Mol Sci,NC,10.3390/ijms21207574,https://pubmed.ncbi.nlm.nih.gov/33066403/,"""mucoderm"""
Volumetric soft tissue alterations in the early healing phase after peri- implant soft tissue contour augmentation with a porcine collagen matrix versus the autologous connective tissue graft: A controlled clinical trial.,Schmitt CM; Bruckbauer P; Schlegel KA; Buchbender M; Adler W; Matta RE,2021,J Clin Periodontol,NC,10.1111/jcpe.13387,https://pubmed.ncbi.nlm.nih.gov/33047372/,"""mucoderm"""
Early implant placement and peri-implant augmentation with a porcine-derived acellular dermal matrix and synthetic bone in the aesthetic area: a 2-year follow-up prospective cohort study.,Papi P; Pranno N; Di Murro B; Pompa G,2021,Int J Oral Maxillofac Surg,NC,10.1016/j.ijom.2020.07.002,https://pubmed.ncbi.nlm.nih.gov/32680808/,"""mucoderm"""
A 3-Year Prospective Study on a Porcine-Derived Acellular Collagen Matrix to Re-Establish Convexity at the Buccal Aspect of Single Implants in the Molar Area: A Volumetric Analysis.,Eeckhout C; Bouckaert E; Verleyen D; De Bruyckere T; Cosyn J,2020,J Clin Med,NC,10.3390/jcm9051568,https://pubmed.ncbi.nlm.nih.gov/32455863/,"""mucoderm"""
Biofunctionalization of porcine-derived collagen matrices with platelet rich fibrin: influence on angiogenesis in vitro and in vivo.,Blatt S; Burkhardt V; Kammerer PW; Pabst AM; Sagheb K; Heller M; Al-Nawas B; Schiegnitz E,2020,Clin Oral Investig,NC,10.1007/s00784-020-03213-8,https://pubmed.ncbi.nlm.nih.gov/32030513/,"""mucoderm"""
Biologization of Collagen-Based Biomaterials Using Liquid-Platelet-Rich Fibrin: New Insights into Clinically Applicable Tissue Engineering.,Al-Maawi S; Herrera-Vizcaino C; Orlowska A; Willershausen I; Sader R; Miron RJ; Choukroun J; Ghanaati S,2019,Materials (Basel),NC,10.3390/ma12233993,https://pubmed.ncbi.nlm.nih.gov/31810182/,"""mucoderm"""
Gingiva thickening with a porcine collagen matrix in a preclinical dog model: Histological outcomes.,Schmitt CM; Schlegel KA; Gammel L; Moest T,2019,J Clin Periodontol,NC,10.1111/jcpe.13196,https://pubmed.ncbi.nlm.nih.gov/31517397/,"""mucoderm"""
Multiwell three-dimensional systems enable in vivo screening of immune reactions to biomaterials: a new strategy toward translational biomaterial research.,Al-Maawi S; Mota C; Kubesch A; James Kirkpatrick C; Moroni L; Ghanaati S,2019,J Mater Sci Mater Med,NC,10.1007/s10856-019-6263-5,https://pubmed.ncbi.nlm.nih.gov/31127377/,"""mucoderm"""
The use of a porcine-derived collagen matrix for vertical soft tissue augmentation. A case report.,Puisys A; Jonaitis A; Vindasiute E; Zukauskas S; Linkevicius T,2019,Stomatologija,NC,Non disponible,https://pubmed.ncbi.nlm.nih.gov/32672718/,"""mucoderm"""
The Use of a Novel Porcine Derived Acellular Dermal Matrix (Mucoderm) in Peri-Implant Soft Tissue Augmentation: Preliminary Results of a Prospective Pilot Cohort Study.,Papi P; Pompa G,2018,Biomed Res Int,NC,10.1155/2018/6406051,https://pubmed.ncbi.nlm.nih.gov/30112412/,"""mucoderm"""
Biofunctionalization of porcine-derived collagen matrix using enamel matrix derivative and platelet-rich fibrin: influence on mature endothelial cell characteristics in vitro.,Park JS; Pabst AM; Ackermann M; Moergel M; Jung J; Kasaj A,2018,Clin Oral Investig,NC,10.1007/s00784-017-2170-7,https://pubmed.ncbi.nlm.nih.gov/28695450/,"""mucoderm"""
Soft tissue volume alterations after connective tissue grafting at teeth: the subepithelial autologous connective tissue graft versus a porcine collagen matrix - a pre-clinical volumetric analysis.,Schmitt CM; Matta RE; Moest T; Humann J; Gammel L; Neukam FW; Schlegel KA,2016,J Clin Periodontol,NC,10.1111/jcpe.12547,https://pubmed.ncbi.nlm.nih.gov/26990041/,"""mucoderm"""
The influence of various rehydration protocols on biomechanical properties of different acellular tissue matrices.,Kasaj A; Levin L; Stratul SI; Gotz H; Schlee M; Rutters CB; Konerding MA; Ackermann M; Willershausen B; Pabst AM,2016,Clin Oral Investig,NC,10.1007/s00784-015-1614-1,https://pubmed.ncbi.nlm.nih.gov/26434650/,"""mucoderm"""
Porcine Dermis-Derived Collagen Membranes Induce Implantation Bed Vascularization Via Multinucleated Giant Cells: A Physiological Reaction?,Barbeck M; Lorenz J; Kubesch A; Bohm N; Booms P; Choukroun J; Sader R; Kirkpatrick CJ; Ghanaati S,2015,J Oral Implantol,NC,10.1563/aaid-joi-D-14-00274,https://pubmed.ncbi.nlm.nih.gov/25546240/,"""mucoderm"""
Influence of porcine-derived collagen matrix on endothelial progenitor cells: an in vitro study.,Pabst AM; Lehmann KM; Walter C; Kruger M; Stratul SI; Kasaj A,2016,Odontology,NC,10.1007/s10266-014-0186-x,https://pubmed.ncbi.nlm.nih.gov/25487653/,"""mucoderm"""
Synchrotron-based X-ray tomographic microscopy for visualization of three-dimensional collagen matrices.,Pabst AM; Wagner W; Kasaj A; Gebhardt S; Ackermann M; Astolfo A; Marone F; Haberthur D; Enzmann F; Konerding MA,2015,Clin Oral Investig,NC,10.1007/s00784-014-1312-4,https://pubmed.ncbi.nlm.nih.gov/25209594/,"""mucoderm"""
Extensive keratinized tissue augmentation during implant rehabilitation after Le Fort I osteotomy: using a new porcine collagen membrane (Mucoderm).,Nocini PF; Castellani R; Zanotti G; Gelpi F; Covani U; Marconcini S; de Santis D,2014,J Craniofac Surg,NC,10.1097/SCS.0000000000000524,https://pubmed.ncbi.nlm.nih.gov/24777008/,"""mucoderm"""
Biodegradation pattern and tissue integration of native and cross-linked porcine collagen soft tissue augmentation matrices - an experimental study in the rat.,Rothamel D; Benner M; Fienitz T; Happe A; Kreppel M; Nickenig HJ; Zoller JE,2014,Head Face Med,NC,10.1186/1746-160X-10-10,https://pubmed.ncbi.nlm.nih.gov/24670219/,"""mucoderm"""
Allogenic Acellular Dermal Matrix and Xenogeneic Dermal Matrix as Connective Tissue Graft Substitutes for Long-Term Stability Gingival Recession Therapy: A Systematic Review and Meta-Analysis.,"Halim FC, Sulijaya B.",2024,Eur J Dent,None,10.1055/s-0043-1772778,https://europepmc.org/article/MED/37848072,"""mucoderm"""
Navigating the combinations of platelet-rich fibrin with biomaterials used in maxillofacial surgery.,"Ieviņa L, Dubņika A.",2024,Front Bioeng Biotechnol,None,10.3389/fbioe.2024.1465019,https://europepmc.org/article/MED/39434715,"""mucoderm"""
A Comparison between Mucoderm® and Connective Tissue Graft for Root Coverage.,"Fathiazar A, Shariatmadar Ahmadi R, Sayar F.",2022,J Dent (Shiraz),None,10.30476/dentjods.2021.90830.1535,https://europepmc.org/article/MED/36588965,"""mucoderm"""
Porcine-derived Acellular Dermal Matrix for Temporary Soft Tissue Coverage in Locally Advanced Angiosarcoma of the Face - A Soft Tissue Odyssey?,"Ebeling M, Sakkas A, Derka S, Scheurer M, Schramm A, Wilde F, Pietzka S.",2024,In Vivo,None,10.21873/invivo.13646,https://europepmc.org/article/MED/38936899,"""mucoderm"""
Biomaterials in Medical Applications.,Wang H.,2023,Polymers (Basel),None,10.3390/polym15040847,https://europepmc.org/article/MED/36850130,"""mucoderm"""
Soft Tissue Augmentation After Tooth Extraction Improves Implant Health: Findings From a Clinical Trial.,"Ibrahim A, Saymeh R, Yosef B.",2024,Cureus,None,10.7759/cureus.66263,https://europepmc.org/article/MED/39238758,"""mucoderm"""
Guided Bone Regeneration Using a Novel Magnesium Membrane: A Literature Review and a Report of Two Cases in Humans.,"Blašković M, Butorac Prpić I, Blašković D, Rider P, Tomas M, Čandrlić S, Botond Hangyasi D, Čandrlić M, Perić Kačarević Ž.",2023,J Funct Biomater,None,10.3390/jfb14060307,https://europepmc.org/article/MED/37367271,"""mucoderm"""
Comparative analysis of xenogeneic collagen matrix and autogenous subepithelial connective tissue graft to increase soft tissue volume around dental implants: a systematic review and meta-analysis.,"Ashurko I, Tarasenko S, Magdalyanova M, Bokareva S, Balyasin M, Galyas A, Khamidova M, Zhornik M, Unkovskiy A.",2023,BMC Oral Health,None,10.1186/s12903-023-03475-0,https://europepmc.org/article/MED/37817128,"""mucoderm"""
Differentiation of Bone Marrow Stem Cells in Presence of Human and Xenogeneic Acellular Dermal Matrix and Collagen Membrane: an <i>in vitro</i> Study.,"Gholamhoseinnia S, Esfahanian V, Amini Sedeh S.",2022,J Dent (Shiraz),None,10.30476/dentjods.2021.89497.1418,https://europepmc.org/article/MED/36380834,"""mucoderm"""
Properties of three collagen scaffolds in comparison with native connective tissue: an in-vitro study.,"Solderer A, Widmer N, Gubler A, Fischer KR, Hicklin SP, Schmidlin PR.",2023,Int J Implant Dent,None,10.1186/s40729-023-00504-z,https://europepmc.org/article/MED/37819469,"""mucoderm"""
Possible Applications for a Biodegradable Magnesium Membrane in Alveolar Ridge Augmentation-Retrospective Case Report with Two Years of Follow-Up.,"Palkovics D, Rider P, Rogge S, Kačarević ŽP, Windisch P.",2023,Medicina (Kaunas),None,10.3390/medicina59101698,https://europepmc.org/article/MED/37893416,"""mucoderm"""
Efficacy of Xenogeneic Collagen Matrices in Augmenting Peri-Implant Soft Tissue: A Systematic Review and Meta-Analysis.,"Dadlani S, Joseph B, Anil S.",2024,Clin Exp Dent Res,None,10.1002/cre2.937,https://europepmc.org/article/MED/39104130,"""mucoderm"""
The Structure and Function of Next-Generation Gingival Graft Substitutes-A Perspective on Multilayer Electrospun Constructs with Consideration of Vascularization.,"Webb BCW, Glogauer M, Santerre JP.",2022,Int J Mol Sci,None,10.3390/ijms23095256,https://europepmc.org/article/MED/35563649,"""mucoderm"""
Novel maxillary enlargement technique in congenital nasal pyriform aperture stenosis: a case report and literature review.,"Hallikainen J, Seppa J, Kellokoski J.",2021,BMJ Case Rep,None,10.1136/bcr-2020-240149,https://europepmc.org/article/MED/33962919,"""mucoderm"""
Collagen Matrix vs. Autogenous Connective Tissue Graft for Soft Tissue Augmentation: A Systematic Review and Meta-Analysis.,"Vallecillo C, Toledano-Osorio M, Vallecillo-Rivas M, Toledano M, Rodriguez-Archilla A, Osorio R.",2021,Polymers (Basel),None,10.3390/polym13111810,https://europepmc.org/article/MED/34072698,"""mucoderm"""
Current state about root coverage using soft-tissue substitutes in the presence of noncarious cervical lesions: A literature review.,"Huamán-Mendoza AA, Reis INRD, Ganhito JA, Carvalho CV, Micheli G, Pannuti CM.",2023,J Indian Soc Periodontol,None,10.4103/jisp.jisp_388_22,https://europepmc.org/article/MED/37593556,"""mucoderm"""
A customized allogenic bone block for alveolar reconstruction quantitated by a 3D matching technique: A case report.,"Blume O, Back M, Martin K, Windisch P.",2021,Clin Case Rep,None,10.1002/ccr3.4771,https://europepmc.org/article/MED/34532047,"""mucoderm"""
Decompression technique - A modified approach for lateral alveolar ridge augmentation: A case report.,"Puisys A, Auzbikaviciute V, Vindasiute-Narbute E, Zukauskas S, Deikuviene J, Razukevicius D.",2021,Clin Case Rep,None,10.1002/ccr3.3746,https://europepmc.org/article/MED/33768821,"""mucoderm"""
Treatment of Localized Gingival Recession with an Enamel Matrix Protein-Coated Xenogeneic Dermal Matrix: A Randomized Controlled Trial.,"Rieder M, Wimmer G, Sokolowski A, Sokolowski A, Payer M, Arefnia B.",2024,Materials (Basel),None,10.3390/ma17163985,https://europepmc.org/article/MED/39203163,"""mucoderm"""
Biomechanical analysis of the human derived soft tissue graft Epiflex for use in oral soft tissue augmentation.,"Sagheb K, Noelken R, Schröger SV, Walter C, Graef JJ, Schumann S.",2024,Int J Implant Dent,None,10.1186/s40729-024-00534-1,https://europepmc.org/article/MED/38517552,"""mucoderm"""
Long-Term Clinical Assessment of Two Modifications of Tunnel Technique in Treatment of Cairo Recession Type 1 in Lower Jaw.,"Skurska A, Milewski R, Pietruska M.",2022,Int J Environ Res Public Health,None,10.3390/ijerph192416444,https://europepmc.org/article/MED/36554325,"""mucoderm"""
Long-Term Clinical Outcomes of 3D-Printed Subperiosteal Titanium Implants: A 6-Year Follow-Up.,"Onică N, Budală DG, Baciu ER, Onică CA, Gelețu GL, Murariu A, Balan M, Pertea M, Stelea C.",2024,J Pers Med,None,10.3390/jpm14050541,https://europepmc.org/article/MED/38793123,"""mucoderm"""
Tunnel Regenerative Corticotomy (TURC): A modified approach in surgically-assisted orthodontics.,"Brugnami F, Caiazzo A, Mehra P.",2021,J Oral Biol Craniofac Res,None,10.1016/j.jobcr.2020.11.017,https://europepmc.org/article/MED/33376667,"""mucoderm"""
State of the Art on Biomaterials for Soft Tissue Augmentation in the Oral Cavity. Part I: Natural Polymers-Based Biomaterials.,"Toledano M, Toledano-Osorio M, Carrasco-Carmona Á, Vallecillo C, Lynch CD, Osorio MT, Osorio R.",2020,Polymers (Basel),None,10.3390/polym12081850,https://europepmc.org/article/MED/32824697,"""mucoderm"""
Advanced Techniques for Bone Restoration and Immediate Loading after Implant Failure: A Case Report.,"Onică N, Onică CA, Baciu ER, Vasluianu RI, Ciofu M, Balan M, Gelețu GL.",2023,Healthcare (Basel),None,10.3390/healthcare11111608,https://europepmc.org/article/MED/37297748,"""mucoderm"""
A Minimally Invasive Approach to Managing Isolated Gingival Recession.,"Nair V, Sabarish R, Ravindran D, Sk B.",2023,Cureus,None,10.7759/cureus.37195,https://europepmc.org/article/MED/37159783,"""mucoderm"""
Use of Xenogenic Collagen Matrices in Peri-Implant Soft Tissue Volume Augmentation: A Critical Review on the Current Evidence and New Technique Presentation.,"De Annuntiis C, Testarelli L, Guarnieri R.",2022,Materials (Basel),None,10.3390/ma15113937,https://europepmc.org/article/MED/35683237,"""mucoderm"""
"Regeneration of Critical Calvarial Bone Defects Using Bovine Xenograft, Magnesium-Enriched Bovine Xenograft and Autologous Dentin in Rats: Micro-CT, Gene Expression and Immunohistochemical Analysis.","Čandrlić M, Jerbić Radetić AT, Omrčen H, Franović B, Batičić L, Gulić T, Čaljkušić-Mance T, Zoričić Cvek S, Malešić L, Perić Kačarević Ž, Cvijanović Peloza O.",2024,J Funct Biomater,None,10.3390/jfb15090270,https://europepmc.org/article/MED/39330245,"""mucoderm"""
"Platelet-rich fibrin for rehydration and pre-vascularization of an acellular, collagen membrane of porcine origin.","Schröger SV, Blatt S, Sagheb K, Al-Nawas B, Kämmerer PW, Sagheb K.",2024,Clin Oral Investig,None,10.1007/s00784-023-05485-2,https://europepmc.org/article/MED/38227215,"""mucoderm"""
Enhancing Gingival Phenotype With Vestibuloplasty and Free Gingival Graft: Improving Maintenance of Regular Oral Hygiene.,Gogoi A.,2022,Cureus,None,10.7759/cureus.23642,https://europepmc.org/article/MED/35510014,"""mucoderm"""
The Effect of Low-Intensity Pulsed Ultrasound on Bone Regeneration and the Expression of Osterix and Cyclooxygenase-2 during Critical-Size Bone Defect Repair.,"Volarić D, Žauhar G, Chen J, Jerbić Radetić AT, Omrčen H, Raič A, Pirović R, Cvijanović Peloza O.",2024,Int J Mol Sci,None,10.3390/ijms25073882,https://europepmc.org/article/MED/38612693,"""mucoderm"""
Characterizing cell recruitment into isotropic and anisotropic biomaterials by quantification of spatial density gradients <i>in vitro</i>.,"Tortorici M, Brauer E, Thiele M, Duda GN, Petersen A.",2022,Front Bioeng Biotechnol,None,10.3389/fbioe.2022.939713,https://europepmc.org/article/MED/35992332,"""mucoderm"""
Porcine Dermis-Derived Collagen Membranes Induce Implantation Bed Vascularization Via Multinucleated Giant Cells: A Physiological Reaction?,"Barbeck M, Lorenz J, Kubesch A, Böhm N, Booms P, Choukroun J, Sader R, Kirkpatrick CJ, Ghanaati S.",2015,J Oral Implantol,None,10.1563/aaid-joi-d-14-00274,https://europepmc.org/article/MED/25546240,"""mucoderm"""
Extensive keratinized tissue augmentation during implant rehabilitation after Le Fort I osteotomy: using a new porcine collagen membrane (Mucoderm).,"Nocini PF, Castellani R, Zanotti G, Gelpi F, Covani U, Marconcini S, de Santis D.",2014,J Craniofac Surg,None,10.1097/scs.0000000000000524,https://europepmc.org/article/MED/24777008,"""mucoderm"""
Soft Tissue Substitutes in Periodontal and Peri-Implant Soft Tissue Augmentation: A Systematic Review.,"Rotundo R, Pancrazi GL, Grassi A, Ceresoli L, Di Domenico GL, Bonafede V.",2024,Materials (Basel),None,10.3390/ma17051221,https://europepmc.org/article/MED/38473691,"""mucoderm"""
Barrier Membranes for Guided Bone Regeneration (GBR): A Focus on Recent Advances in Collagen Membranes.,"Ren Y, Fan L, Alkildani S, Liu L, Emmert S, Najman S, Rimashevskiy D, Schnettler R, Jung O, Xiong X, Barbeck M.",2022,Int J Mol Sci,None,10.3390/ijms232314987,https://europepmc.org/article/MED/36499315,"""mucoderm"""
Treatment of multiple gingival recessions with xenogeneic acellular dermal matrix compared to connective tissue graft: a randomized split-mouth clinical trial.,"Vincent-Bugnas S, Laurent J, Naman E, Charbit M, Borie G.",2021,J Periodontal Implant Sci,None,10.5051/jpis.2002400120,https://europepmc.org/article/MED/33913631,"""mucoderm"""
"Synchronous primary carcinomas of the prostate, thyroid and rectum: case report and review of the literature.","Long Y, Liu W, Dai Y, Wu H, Long X, Liang Z, Zhou R.",2019,Transl Cancer Res,None,10.21037/tcr.2019.06.07,https://europepmc.org/article/MED/35116842,"""mucoderm"""
Full-Thickness Oral Mucoperiosteal Defects: Challenges and Opportunities.,"Allen BN, Wang Q, Filali Y, Worthington KS, Kacmarynski DSF.",2022,Tissue Eng Part B Rev,None,10.1089/ten.teb.2021.0044,https://europepmc.org/article/MED/34409870,"""mucoderm"""
